aliquot.id,icgc.donor.id,T.specimen.id,N.specimen.id
632f3eb0-c623-11e3-bf01-24c6515278c0,DO23543,SP112051,SP50166
e34bcc5e-c622-11e3-bf01-24c6515278c0,DO23543,SP50167,SP50166
fc9d5fc6-546f-27b7-e040-11ac0d485f87,DO36221,SP106835,SP106838
fc9d5fc6-719b-0525-e040-11ac0d485f83,DO36221,SP106834,SP106838
fc9d93b6-77c6-8719-e040-11ac0d487dec,DO36221,SP106833,SP106838
fca1c663-dec0-db39-e040-11ac0c486140,DO36221,SP106836,SP106838
fca2d62f-2756-939e-e040-11ac0d4865e6,DO36221,SP106837,SP106838
fc9d5fc7-a87b-c5e7-e040-11ac0c4850aa,DO36223,SP106841,SP106842
fc9d93b6-92e8-acb7-e040-11ac0d487dee,DO36223,SP106839,SP106842
fc9f9295-01f6-a9e0-e040-11ac0d4845af,DO36223,SP106840,SP106842
27fcccdc-c622-11e3-bf01-24c6515278c0,DO45096,SP98909,SP98905
2b569b88-c622-11e3-bf01-24c6515278c0,DO45096,SP98907,SP98905
10db2142-c623-11e3-bf01-24c6515278c0,DO45141,SP99003,SP98999
6527aa5a-c622-11e3-bf01-24c6515278c0,DO45141,SP99001,SP98999
70c2f91e-c622-11e3-bf01-24c6515278c0,DO45151,SP99021,SP99023
72c22a8c-c622-11e3-bf01-24c6515278c0,DO45151,SP99025,SP99023
062e96d4-c623-11e3-bf01-24c6515278c0,DO45273,SP99269,SP99267
072f4146-c623-11e3-bf01-24c6515278c0,DO45273,SP99271,SP99267
2109e1d4-c623-11e3-bf01-24c6515278c0,DO45281,SP99287,SP99285
26de406e-c623-11e3-bf01-24c6515278c0,DO45281,SP99289,SP99285
fc9d5fc6-7f7d-1313-e040-11ac0d485f85,DO48577,SP106825,SP106830
fc9d704c-0cfb-0407-e040-11ac0d486980,DO48577,SP106827,SP106830
fc9f998b-cc72-f6ea-e040-11ac0c482425,DO48577,SP106828,SP106830
fca04929-586a-0594-e040-11ac0c48099d,DO48577,SP106829,SP106830
0efee3f3-313b-44eb-b3b0-af975a1ded82,DO49442,SP117981,SP108750
28f41a20-b6d6-4ecc-888f-72f779ad9af7,DO49442,SP117980,SP108750
60c33e32-7e19-4e71-b075-a63fcf27e660,DO49454,SP117523,SP108777
6867811f-ac89-47da-b5dc-1270033c36e7,DO49454,SP117522,SP108777
3f99ae0e-c623-11e3-bf01-24c6515278c0,DO50793,SP112168,SP112166
40b1e928-c623-11e3-bf01-24c6515278c0,DO50793,SP112170,SP112166
520b8ab2-c623-11e3-bf01-24c6515278c0,DO50814,SP112210,SP112209
52d8ccfc-c623-11e3-bf01-24c6515278c0,DO50814,SP112211,SP112209
690e481c-c623-11e3-bf01-24c6515278c0,DO50842,SP112268,SP112267
6a129b50-c623-11e3-bf01-24c6515278c0,DO50842,SP112269,SP112267
6c306cbe-c623-11e3-bf01-24c6515278c0,DO50844,SP112273,SP112272
6ce66be0-c623-11e3-bf01-24c6515278c0,DO50844,SP112274,SP112272
0bfd1043-7344-fdd0-e050-11ac0c484cab,DO51953,SP114901,SP114899
0bfd1043-816e-e3e4-e050-11ac0c4860c5,DO51953,SP114900,SP114899
0bfd1043-8187-e3e4-e050-11ac0c4860c5,DO51953,SP114903,SP114899
0bfd1068-3fe6-a95b-e050-11ac0c4860c3,DO51953,SP114898,SP114899
0bfd1043-5142-3662-e050-11ac0c486501,DO51954,SP114910,SP114905
0bfd1043-70fb-d2dc-e050-11ac0c4860cb,DO51954,SP114906,SP114905
0bfd1043-8189-e3e4-e050-11ac0c4860c5,DO51954,SP114914,SP114905
0bfd1068-3fe4-a95b-e050-11ac0c4860c3,DO51954,SP114920,SP114905
0bfe2ac9-0afa-c248-e050-11ac0d487e1c,DO51954,SP114908,SP114905
0bfe2ac9-0afd-c248-e050-11ac0d487e1c,DO51954,SP114904,SP114905
0bfe2ac9-0aff-c248-e050-11ac0d487e1c,DO51954,SP114918,SP114905
0bfebf9f-c781-e57d-e050-11ac0d487827,DO51954,SP114912,SP114905
0bfebf9f-c783-e57d-e050-11ac0d487827,DO51954,SP114917,SP114905
0c0038ff-6cc8-b0b0-e050-11ac0d483d73,DO51954,SP114916,SP114905
0bfd1043-7343-fdd0-e050-11ac0c484cab,DO51955,SP114921,SP114922
0bfd1068-3fd3-a95b-e050-11ac0c4860c3,DO51955,SP114924,SP114922
0bfd1043-7346-fdd0-e050-11ac0c484cab,DO51956,SP114926,SP114928
0bfd1043-7ed6-9ccc-e050-11ac0c481957,DO51956,SP114935,SP114928
0bfd1068-3fc5-a95b-e050-11ac0c4860c3,DO51956,SP114930,SP114928
0bfe2ac9-0aec-c248-e050-11ac0d487e1c,DO51956,SP114932,SP114928
0bfe2ac9-0aee-c248-e050-11ac0d487e1c,DO51956,SP114934,SP114928
0bfd1043-8170-e3e4-e050-11ac0c4860c5,DO51958,SP114941,SP114939
0bfd1043-8172-e3e4-e050-11ac0c4860c5,DO51958,SP114937,SP114939
0bfd1043-8173-e3e4-e050-11ac0c4860c5,DO51958,SP114945,SP114939
0bfd1043-8175-e3e4-e050-11ac0c4860c5,DO51958,SP114943,SP114939
0bfd1068-3fc3-a95b-e050-11ac0c4860c3,DO51958,SP114944,SP114939
0bfd1043-8177-e3e4-e050-11ac0c4860c5,DO51959,SP114949,SP114947
0bfd1068-3fca-a95b-e050-11ac0c4860c3,DO51959,SP114946,SP114947
