Access	File ID	Object ID	File Name	ICGC Donor	Specimen ID	Specimen Type	Sample ID	Repository	Project	Study	Data Type	Experimental Strategy	Format	Size (bytes)
controlled	FI12977	13cffb6c-f7bc-5adc-8179-31cc2848bcdb	792f1696c110e6b1d806951ee895de49.bam	DO50424	SP111131	Primary tumour - solid tissue	SA528974	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	PRAD-UK	PCAWG			BAM	1.43467385938E11
controlled	FI12958	8b4a1c69-8926-5f68-bcac-ce30d44d6483	92a851f8eaa9edd5750f7605460eca16.bam	DO50452	SP111171	Normal - blood derived	SA528990	Collaboratory - Toronto,EGA - Hinxton,AWS - Virginia	ESAD-UK	PCAWG			BAM	1.03599350649E11
controlled	FI12826	eec2e767-59f1-5f58-b3bd-0aeec55ec223	4a953fb72cd2994d70578b6dd9e7f666.bam	DO23521	SP50123	Primary tumour - solid tissue	SA270406	Collaboratory - Toronto,AWS - Virginia,EGA - Hinxton	LIRI-JP	PCAWG			BAM	1.38587270844E11
controlled	FI350787	c9c3838d-70c3-50d3-a9e1-55b648f314c2	a2f4cfbc8de2e9b57190be2e3939904f.bam	DO50410	SP111075	Primary tumour - solid tissue	SA528901	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	ESAD-UK	PCAWG			BAM	1.71443521823E11
controlled	FI350836	123f9473-1376-5e92-a8c5-61880e15e0bf	c908cd92d16d802f80292e52fd4fb1c7.bam	DO50316	SP110996	Normal - solid tissue	SA528804	EGA - Hinxton,Collaboratory - Toronto,AWS - Virginia	ESAD-UK	PCAWG			BAM	1.11127655885E11
controlled	FI2	0bb7955e-bc71-56c3-816c-29aeb80a20ff	b062ec4e85c3bdf632c206ad68c7f86f.bam	DO52747	SP116866	Primary tumour - blood derived (peripheral blood)	SA542254	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	CMDI-UK	PCAWG			BAM	1.16824384111E11
controlled	FI16946	8abb2c10-a492-5805-b155-b7d59f60775b	8cf46399858244b336327d1b48c521dc.bam	DO51097	SP112880	Normal - blood derived	SA530601	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	PRAD-CA	PCAWG			BAM	6.435021366E10
controlled	FI41651	d20f67bd-3fde-5640-acb1-92d50fbdf2b3	215a767a97de774749118bed80417a78.bam	DO27819	SP59382	Normal - blood derived	SA320990	EGA - Hinxton,Collaboratory - Toronto	MALY-DE	PCAWG			BAM	7.1179305031E10
controlled	FI16570	4766775a-4054-5cd7-b16c-675c6adb58ca	0a20f028fea85b9f5bdab576c781b2d1.bam	DO220875	SP124409	Metastatic tumour - metastasis to distant location	SA557483	AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	MELA-AU	PCAWG			BAM	2.22857751989E11
controlled	FI41594	f2503f64-a84d-5d7f-a095-8662fcef248a	5e2f2386cc571c0182953f9fee5f5ede.bam	DO52589	SP116448	Primary tumour - solid tissue	SA541982	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.5251937254E11
controlled	FI41593	0a490c3c-9b05-5c1d-a478-8fb5bd13199c	fea703adbfc25a5356f5f0c629961ff9.bam	DO52589	SP116449	Normal - blood derived	SA541983	EGA - Hinxton,Collaboratory - Toronto,AWS - Virginia	BOCA-UK	PCAWG			BAM	1.24250171534E11
controlled	FI6769	f4bd90da-7773-553f-953e-b44a9e2858ea	d208eb198d5961b17d09e831fafebbea.bam	DO27855	SP59454	Normal - blood derived	SA321116	EGA - Hinxton,Collaboratory - Toronto	MALY-DE	PCAWG			BAM	1.13065727637E11
controlled	FI16748	6fb61310-a511-50ab-86fe-3d8a4fa2fa1a	3bc20e4798027f1a1f90aa1526f66d95.bam	DO27837	SP59420	Primary tumour - solid tissue	SA321066	EGA - Hinxton,Collaboratory - Toronto	MALY-DE	PCAWG			BAM	9.4575386609E10
controlled	FI41249	ad2fb9b1-759d-55fc-a8e5-417a18c2bb6d	437a74e3f351765522782e44777254c6.bam	DO36099	SP79403	Primary tumour - solid tissue	SA413859	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	9.3714414868E10
controlled	FI41230	70432e2c-88f9-5870-9543-899fff998d93	368dbc1d6bafe7ff0fba385888821b89.bam	DO52564	SP116384	Normal - blood derived	SA541947	Collaboratory - Toronto,AWS - Virginia,EGA - Hinxton	BOCA-UK	PCAWG			BAM	1.17813417165E11
controlled	FI6544	164c5c13-ccb8-5c1d-a350-9fe735b91c7e	a857864ce81311f3dc34d913807ea319.bam	DO35619	SP78816	Primary tumour - solid tissue	SA413898	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	1.0443563637E11
controlled	FI6602	569565a1-06da-5599-b860-6b38911fc084	e25a121804fbe800c7e64de63214d9b2.bam	DO46834	SP102747	Primary tumour - solid tissue	SA507173	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.70425183011E11
controlled	FI6352	46b8826d-9b99-5791-b32c-1b26a7d0246f	c42f3ea3cc9197ebd26a3a6f6fd92fe2.bam	DO52713	SP116758	Primary tumour - blood derived (peripheral blood)	SA542193	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	CLLE-ES	PCAWG			BAM	1.10455443106E11
controlled	FI41382	55319048-a211-5bb7-866e-b7a91a064507	87af9eb8a2ab6a437d95caf9dd7257bf.bam	DO218547	SP135436	Primary tumour - solid tissue	SA543781	EGA - Hinxton,Collaboratory - Toronto	GACA-CN	PCAWG			BAM	1.04105211236E11
controlled	FI6410	cd88cd36-c120-51cb-b12b-669dbb92979e	edf4f81d411743d5ef7e701a68cc1208.bam	DO45096	SP98905	Normal - blood derived	SA501444	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	8.1030673494E10
controlled	FI6428	405023e7-2713-5c3f-be7b-69f9497f0d43	c816e85edb2da26ded3820bcbb448e8b.bam	DO45096	SP98909	Primary tumour - solid tissue	SA501446	EGA - Hinxton,Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	1.36764701403E11
controlled	FI810171	a9ef21e3-b653-500b-961a-c0968344330a	mini-d3852abe44a3172fd193c11fe9b3084b.bam	DO217950	SP118263	Normal - blood derived	SA544492	Collaboratory - Toronto,AWS - Virginia	ORCA-IN	PCAWG			BAM	2.12112158E8
controlled	FI810173	747a2a36-3642-5ef6-9488-335d45d8c635	mini-92cb9996b5fe8bf8ec9dedf134fb64a0.bam	DO217950	SP117124	Primary tumour - solid tissue	SA542715	AWS - Virginia,Collaboratory - Toronto	ORCA-IN	PCAWG			BAM	4.18104907E8
controlled	FI810159	fda40285-cff0-5fa2-915d-462c12d0af3d	mini-ec42f3593ea7f2125cc8ebd616b83363.bam	DO218306	SP118633	Normal - blood derived	SA544879	AWS - Virginia,Collaboratory - Toronto	ORCA-IN	PCAWG			BAM	2.04495411E8
controlled	FI810091	bd71f905-2099-5700-a45c-81d7df3d485f	mini-f3b5e07b912482ecf54eedf6b9ec5552.bam	DO52135	SP135351	Normal - solid tissue	SA570854	AWS - Virginia,Collaboratory - Toronto	PAEN-IT	PCAWG			BAM	1.59137091E8
controlled	FI810051	2d8154b3-9ff8-5ac3-a3ef-4093c6b58f6d	mini-a62fd94098adec84ed01d07a73407b1e.bam	DO52131	SP135331	Normal - tissue adjacent to primary	SA570848	AWS - Virginia,Collaboratory - Toronto	PAEN-IT	PCAWG			BAM	1.0671222E8
controlled	FI810057	7300a9fc-791b-5804-90fa-d96a4830f0ef	mini-318340430226b95c70e7c197287fc6d3.bam	DO52126	SP135305	Primary tumour - solid tissue	SA570841	AWS - Virginia,Collaboratory - Toronto	PAEN-IT	PCAWG			BAM	2.73871017E8
controlled	FI810011	ba678b6a-bdd4-59c9-a520-9192792a6672	mini-5aa29984e9491dbb38e422f3f93a5a46.bam	DO46830	SP102739	Normal - blood derived	SA507161	Collaboratory - Toronto,AWS - Virginia	RECA-EU	PCAWG			BAM	2.02226897E8
controlled	FI810013	41b58f2e-2e95-5104-ac85-0a324539b74c	mini-323820a8550325f4866df8c9941be2cb.bam	DO46830	SP102733	Primary tumour - solid tissue	SA507152	AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	3.51475936E8
controlled	FI378319	b2ddba3b-875a-5e3f-a310-2f7817f4844e	dc36cb274e112fe31f5f445526d1f70b.bam	DO47162	SP103706	Primary tumour - solid tissue	SA507464	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.88807564091E11
controlled	FI810971	7e85a4d6-6535-5664-b97d-ae5337e3ad2c	mini-83d2e20c87f849512d343195c7da6909.bam	DO49178	SP108052	Normal - solid tissue	SA518799	AWS - Virginia,Collaboratory - Toronto	PACA-AU	PCAWG			BAM	3.4697766E8
controlled	FI810973	e20fa5a8-fe09-52b5-a59f-f7b2da58600e	mini-d65eee66ecfacf55670339827f870add.bam	DO49178	SP108049	Primary tumour - solid tissue	SA518764	AWS - Virginia,Collaboratory - Toronto	PACA-AU	PCAWG			BAM	2.81302757E8
controlled	FI810923	6af53a87-98cf-562f-8a27-f1f3f5f100f5	mini-86e226b06e16e1933eeb71d9a4521827.bam	DO23542	SP50164	Normal - blood derived	SA270447	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	2.26255471E8
controlled	FI810841	62ca2eb2-ac25-5442-805b-c47634fa0cdb	mini-c351e477d3466759639105da2783c98c.bam	DO45229	SP99181	Primary tumour - solid tissue	SA501457	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	3.66876946E8
controlled	FI810853	a6b6760e-15a3-5974-9b37-5c7140c0bd81	mini-ebcb2992e44738f59876e7ec5e029557.bam	DO45223	SP99167	Normal - blood derived	SA501443	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	4.4013826E8
controlled	FI810811	37f8c520-bd90-598e-9840-0b895733a594	mini-255b814d171c88274d2b5de7895717fc.bam	DO45169	SP99059	Normal - blood derived	SA501589	AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	4.29846153E8
controlled	FI810815	6973d9bd-c323-5576-ac39-1ebde808481c	mini-39e8cffaf282e115252621d526777510.bam	DO45219	SP99159	Normal - blood derived	SA501434	AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	2.82356599E8
controlled	FI810827	e6063f09-3969-50ba-972e-3fc249f35190	mini-17c18008ae82493f54e37342852753c4.bam	DO23528	SP50136	Normal - blood derived	SA270419	AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	2.52339564E8
controlled	FI350035	0ccb7f8a-a365-535a-8e01-4e49ddf263fa	408bb34a79d24404845cc07574321fa4.bam	DO10841	SP23499	Normal - blood derived	SA130920	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	ESAD-UK	PCAWG			BAM	2.33580921352E11
controlled	FI810723	f79c4c6d-faf7-5f78-ba7f-6c9418132885	mini-30e896036bf19878cfb01c1b68940181.bam	DO45177	SP99075	Normal - blood derived	SA501605	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	1.78479632E8
controlled	FI810735	82dd2762-9f39-5cde-8c46-fd9ac3033889	mini-3e7eae0d66e1b983bc73f49fce020232.bam	DO48672	SP106993	Primary tumour - solid tissue	SA515214	AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.400560879E9
controlled	FI810743	5ac936af-8ff9-5384-8e0d-ad772f3b568b	mini-8954aa01f7862db7fb3b4f8c46391c6b.bam	DO52149	SP135446	Normal - solid tissue	SA570886	AWS - Virginia,Collaboratory - Toronto	PAEN-IT	PCAWG			BAM	1.4350813E8
controlled	FI810609	fe58ebf1-8712-522b-bbf2-2678e97cba18	mini-306854b4b7661abc835209c3f4793b64.bam	DO45121	SP98961	Normal - blood derived	SA501493	AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	2.20010195E8
controlled	FI810597	e47c1d6a-edaf-5ce3-8b64-9c8eb61e1bd1	mini-b30340dc1be842da5ec010a976d61647.bam	DO45111	SP98939	Normal - blood derived	SA501475	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	9.84857239E8
controlled	FI810599	a5341212-8bce-5406-955e-a832c58089e5	mini-97ace2f7fb41b232024573f27e09f155.bam	DO45111	SP98941	Primary tumour - solid tissue	SA501477	Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	1.273920264E9
controlled	FI810529	da7c388e-1276-5813-a66d-ec9964d0ce36	mini-c54906b26a05a871474b6f57f834f0ae.bam	DO47000	SP103288	Primary tumour - solid tissue	SA507132	AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.44502197E8
controlled	FI810483	34591055-6021-5c73-803a-bcadb83bb475	mini-f9527c09de092778d44d4d9779bc9e29.bam	DO52512	SP116267	Primary tumour - solid tissue	SA541756	Collaboratory - Toronto	EOPC-DE	PCAWG			BAM	4.49993993E8
controlled	FI810329	c7975024-8628-5583-859a-500f114dc324	mini-97053d52c04a4b70431384b4caac0a86.bam	DO47249	SP103856	Primary tumour - solid tissue	SA507607	AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.19121485E8
controlled	FI810349	298608f6-4489-5590-93d8-1232158af9e2	mini-5be8a9a6afb93acf90f99eefe95a0420.bam	DO47056	SP103416	Primary tumour - solid tissue	SA507229	AWS - Virginia,Collaboratory - Toronto	RECA-EU	PCAWG			BAM	1.23752909E8
controlled	FI810277	8debcc97-51de-5e7f-b940-5324ac7031b4	mini-24c91b6bab31c9b28cb078394d05b0dd.bam	DO49528	SP108998	Primary tumour - blood derived (bone marrow)	SA520420	AWS - Virginia,Collaboratory - Toronto	LAML-KR	PCAWG			BAM	6.9867983E7
controlled	FI810283	9d97bd08-0b86-52cf-8317-c82990b2718c	mini-31a8df1f63429f863997ff32a9db899a.bam	DO49533	SP109013	Normal - other	SA520437	AWS - Virginia,Collaboratory - Toronto	LAML-KR	PCAWG			BAM	5.8490856E7
controlled	FI14909	70f2dcbc-d155-5fc4-a95e-f9c77b04ebbc	314cc2aa194816e2fffe2f21b550fac6.bam	DO27775	SP59294	Normal - bone marrow	SA320858	EGA - Hinxton,Collaboratory - Toronto	MALY-DE	PCAWG			BAM	1.25613092122E11
controlled	FI14948	cec21e69-c084-5ad9-914f-fec8899f64c6	e1b01ce88a1d130e553c7fc84f501ae3.bam	DO48894	SP107362	Primary tumour - solid tissue	SA517328	Collaboratory - Toronto,EGA - Hinxton	PBCA-DE	PCAWG			BAM	1.18848687864E11
controlled	FI4828	f779a2e7-6d2e-5b5d-8a36-b0c2d6174e0f	db79154ec108193a9041df1210509f04.bam	DO51085	SP112856	Normal - blood derived	SA530554	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	PRAD-CA	PCAWG			BAM	6.9369823743E10
controlled	FI4829	0708fca7-ec5b-5a46-a743-701a04106db6	7525e7e38d39ec217664e35a1586c273.bam	DO51085	SP112857	Primary tumour - solid tissue	SA530556	EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	PRAD-CA	PCAWG			BAM	1.89978466393E11
